epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.238,1.89104,12.5475,1.59735,0.00502,0.05556,0.01286,0.0115,0.74717,339.808,0.58519,5.58632e-05,5.58632e-05,5.58632e-05
2,42.4458,1.27831,6.21221,1.15477,0.25205,0.21924,0.10102,0.05431,0.83155,38.9,0.67829,0.000112972,0.000112972,0.000112972
3,62.4718,1.17407,4.82922,1.14239,0.47906,0.3223,0.28498,0.1768,0.81816,16.9325,0.68387,0.000169855,0.000169855,0.000169855
4,80.7196,1.09391,4.01276,1.13851,0.44865,0.46888,0.45821,0.31036,0.68633,14.5421,0.62817,0.000170978,0.000170978,0.000170978
5,98.5838,1.10138,3.39356,1.16905,0.48344,0.63759,0.59988,0.36666,0.76782,11.5257,0.66222,0.000170638,0.000170638,0.000170638
6,116.582,1.08011,2.91961,1.1795,0.72213,0.63642,0.77937,0.48623,0.73352,3.86262,0.65246,0.000170297,0.000170297,0.000170297
7,135.962,1.04155,2.42493,1.17416,0.6919,0.82947,0.89171,0.6156,0.65833,1.47968,0.6061,0.000169957,0.000169957,0.000169957
8,155.655,1.06105,1.96012,1.18681,0.7834,0.83811,0.93594,0.64611,0.6849,0.92571,0.6157,0.000169616,0.000169616,0.000169616
9,175.28,1.00424,1.74089,1.15242,0.81947,0.90443,0.95898,0.65256,0.69799,0.67245,0.62372,0.000169276,0.000169276,0.000169276
10,194.774,0.99006,1.52087,1.16113,0.82157,0.96178,0.98502,0.65251,0.72188,0.59892,0.64799,0.000168935,0.000168935,0.000168935
11,212.943,0.99359,1.48182,1.15283,0.8978,0.91058,0.99256,0.67526,0.66618,0.61284,0.61899,0.000168594,0.000168594,0.000168594
12,230.95,0.96916,1.31241,1.14214,0.92637,0.95339,0.995,0.63638,0.72885,0.46577,0.64056,0.000168254,0.000168254,0.000168254
13,248.783,0.93204,1.21557,1.10153,0.88917,0.96338,0.995,0.68887,0.65352,0.43482,0.60219,0.000167913,0.000167913,0.000167913
14,266.623,0.95342,1.19165,1.12269,0.94117,0.9387,0.995,0.7037,0.63916,0.54124,0.60515,0.000167573,0.000167573,0.000167573
15,284.532,0.92336,1.08618,1.12448,0.95634,0.9646,0.995,0.66464,0.68204,0.50679,0.61855,0.000167232,0.000167232,0.000167232
16,302.294,0.9624,1.07216,1.13168,0.9537,0.94943,0.995,0.66474,0.67411,0.51269,0.62043,0.000166892,0.000166892,0.000166892
17,320.679,0.91641,1.02989,1.12016,0.91965,0.94715,0.995,0.7195,0.60944,0.50419,0.58734,0.000166551,0.000166551,0.000166551
18,338.768,0.92252,1.01942,1.10044,0.89847,0.97852,0.995,0.69933,0.63477,0.48661,0.58444,0.00016621,0.00016621,0.00016621
19,356.727,0.89509,0.94417,1.07883,0.93337,0.98352,0.995,0.69818,0.65217,0.34191,0.59902,0.00016587,0.00016587,0.00016587
20,374.249,0.89885,0.91324,1.08254,0.90743,0.99286,0.995,0.68002,0.66705,0.41509,0.61631,0.000165529,0.000165529,0.000165529
21,392.169,0.88267,0.88324,1.08366,0.94581,0.97171,0.995,0.67905,0.68159,0.40299,0.61647,0.000165189,0.000165189,0.000165189
22,410.332,0.89528,0.82987,1.07246,0.95499,0.98501,0.995,0.67188,0.68654,0.47407,0.62502,0.000164848,0.000164848,0.000164848
23,429.35,0.91062,0.88967,1.10579,0.94954,0.99861,0.995,0.68801,0.65107,0.44341,0.6107,0.000164508,0.000164508,0.000164508
24,447.176,0.8777,0.77752,1.05918,0.93419,0.99334,0.995,0.71319,0.59851,0.36042,0.57238,0.000164167,0.000164167,0.000164167
25,465.404,0.89621,0.85073,1.09824,0.95531,0.98444,0.995,0.71203,0.6226,0.40061,0.59378,0.000163827,0.000163827,0.000163827
26,483.988,0.87545,0.82331,1.07058,0.93914,0.9928,0.995,0.71973,0.59345,0.41494,0.57657,0.000163486,0.000163486,0.000163486
27,502.356,0.83252,0.75165,1.0654,0.9548,0.98816,0.995,0.69091,0.64442,0.47143,0.61348,0.000163145,0.000163145,0.000163145
28,520.999,0.85131,0.74737,1.05894,0.95541,0.96621,0.995,0.69959,0.6353,0.35836,0.59952,0.000162805,0.000162805,0.000162805
29,539.383,0.86517,0.74442,1.07018,0.92197,1,0.995,0.67919,0.66154,0.37023,0.62247,0.000162464,0.000162464,0.000162464
30,557.666,0.88076,0.76565,1.1033,0.9019,0.98825,0.995,0.67146,0.66951,0.40552,0.61458,0.000162124,0.000162124,0.000162124
31,576.42,0.85679,0.70034,1.05818,0.93548,0.99386,0.995,0.66802,0.70051,0.3603,0.63649,0.000161783,0.000161783,0.000161783
32,595.321,0.87411,0.72535,1.0771,0.95339,0.98345,0.995,0.70845,0.62273,0.36194,0.5974,0.000161443,0.000161443,0.000161443
33,614.372,0.86666,0.71048,1.0721,0.93625,0.98179,0.995,0.69798,0.63649,0.34002,0.59489,0.000161102,0.000161102,0.000161102
34,632.994,0.84199,0.69754,1.06818,0.95031,0.97443,0.995,0.70595,0.63879,0.2961,0.60482,0.000160762,0.000160762,0.000160762
35,652.095,0.82769,0.66014,1.06278,0.9473,0.99855,0.995,0.71074,0.63354,0.29949,0.61363,0.000160421,0.000160421,0.000160421
36,671.179,0.86662,0.6836,1.08498,0.96477,0.99701,0.995,0.71412,0.61714,0.30122,0.60268,0.00016008,0.00016008,0.00016008
37,690.673,0.83117,0.65115,1.04621,0.94952,0.98668,0.995,0.66895,0.69771,0.29118,0.64989,0.00015974,0.00015974,0.00015974
38,708.634,0.81397,0.64111,1.04909,0.93216,0.99005,0.995,0.70471,0.6317,0.32228,0.60193,0.000159399,0.000159399,0.000159399
39,726.729,0.80687,0.63166,1.04304,0.96485,0.99274,0.995,0.72133,0.6239,0.27864,0.59165,0.000159059,0.000159059,0.000159059
40,744.884,0.79831,0.62023,1.04416,0.94952,0.9847,0.995,0.73112,0.58924,0.30084,0.5773,0.000158718,0.000158718,0.000158718
41,763.255,0.81288,0.63741,1.06315,0.94614,0.98659,0.995,0.71403,0.62601,0.4434,0.61062,0.000158378,0.000158378,0.000158378
42,781.817,0.81543,0.63705,1.04187,0.94256,0.99794,0.995,0.6861,0.65449,0.31579,0.6294,0.000158037,0.000158037,0.000158037
43,800.108,0.81707,0.62084,1.06096,0.95307,0.99086,0.995,0.69989,0.67669,0.33072,0.64767,0.000157696,0.000157696,0.000157696
44,818.373,0.79524,0.63536,1.04882,0.93996,0.99873,0.995,0.7063,0.64277,0.32677,0.6069,0.000157356,0.000157356,0.000157356
45,836.488,0.80416,0.63596,1.04558,0.95584,0.98929,0.995,0.73293,0.56838,0.31532,0.57169,0.000157015,0.000157015,0.000157015
46,854.704,0.80504,0.63359,1.04964,0.95368,0.98594,0.995,0.71618,0.60414,0.36781,0.60228,0.000156675,0.000156675,0.000156675
47,873.164,0.77705,0.57855,1.01862,0.96118,0.99621,0.995,0.71556,0.62129,0.36234,0.60653,0.000156334,0.000156334,0.000156334
48,891.898,0.77108,0.57568,1.02145,0.96126,0.99633,0.995,0.72976,0.59355,0.29434,0.59082,0.000155994,0.000155994,0.000155994
49,910.45,0.77368,0.59295,1.04234,0.95409,0.98266,0.995,0.71161,0.61045,0.262,0.5916,0.000155653,0.000155653,0.000155653
50,929.349,0.78849,0.58536,1.05713,0.92701,0.9942,0.995,0.7122,0.62833,0.28515,0.62181,0.000155313,0.000155313,0.000155313
51,947.685,0.78025,0.5855,1.03994,0.96481,0.99722,0.995,0.71721,0.60662,0.30925,0.60871,0.000154972,0.000154972,0.000154972
52,965.792,0.78709,0.57803,1.03347,0.91967,0.98725,0.995,0.71306,0.6206,0.30095,0.60942,0.000154631,0.000154631,0.000154631
53,984.151,0.74971,0.56245,1.01003,0.94473,0.96764,0.995,0.70965,0.61702,0.32827,0.60533,0.000154291,0.000154291,0.000154291
54,1002.53,0.75228,0.54478,1.02741,0.94249,0.96924,0.995,0.71553,0.59934,0.2877,0.61006,0.00015395,0.00015395,0.00015395
55,1020.69,0.77642,0.58971,1.02974,0.95917,0.98946,0.995,0.6952,0.61903,0.33603,0.60261,0.00015361,0.00015361,0.00015361
56,1038.69,0.74677,0.55847,1.0035,0.92916,0.99501,0.995,0.72229,0.59812,0.29519,0.60311,0.000153269,0.000153269,0.000153269
57,1056.62,0.73659,0.56672,1.02732,0.95702,0.99588,0.995,0.6924,0.66703,0.33925,0.64421,0.000152929,0.000152929,0.000152929
58,1074.61,0.72068,0.52505,0.99702,0.93467,0.99541,0.995,0.69063,0.66593,0.29537,0.64474,0.000152588,0.000152588,0.000152588
59,1092.62,0.76521,0.55328,1.02777,0.96118,0.98899,0.995,0.68283,0.69263,0.32489,0.65323,0.000152248,0.000152248,0.000152248
60,1111.04,0.76964,0.57991,1.02811,0.93653,0.99847,0.995,0.68826,0.6692,0.32421,0.63342,0.000151907,0.000151907,0.000151907
