epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.1578,1.89104,12.5475,1.59735,0.00502,0.05556,0.01286,0.0115,0.74717,339.808,0.58519,5.58632e-05,5.58632e-05,5.58632e-05
2,43.3486,1.27831,6.21221,1.15477,0.25205,0.21924,0.10102,0.05431,0.83155,38.9,0.67829,0.000112972,0.000112972,0.000112972
3,61.0262,1.17407,4.82922,1.14239,0.47906,0.3223,0.28498,0.1768,0.81816,16.9325,0.68387,0.000169855,0.000169855,0.000169855
4,79.7642,1.09391,4.01276,1.13851,0.44865,0.46888,0.45821,0.31036,0.68633,14.5421,0.62817,0.000170978,0.000170978,0.000170978
5,98.9592,1.10138,3.39356,1.16905,0.48344,0.63759,0.59988,0.36666,0.76782,11.5257,0.66222,0.000170638,0.000170638,0.000170638
6,117.833,1.08011,2.91961,1.1795,0.72213,0.63642,0.77937,0.48623,0.73352,3.86262,0.65246,0.000170297,0.000170297,0.000170297
7,137.022,1.04155,2.42493,1.17416,0.6919,0.82947,0.89171,0.6156,0.65833,1.47968,0.6061,0.000169957,0.000169957,0.000169957
8,156.138,1.06105,1.96012,1.18681,0.7834,0.83811,0.93594,0.64611,0.6849,0.92571,0.6157,0.000169616,0.000169616,0.000169616
9,174.032,1.00424,1.74089,1.15242,0.81947,0.90443,0.95898,0.65256,0.69799,0.67245,0.62372,0.000169276,0.000169276,0.000169276
10,192.397,0.99006,1.52087,1.16113,0.82157,0.96178,0.98502,0.65251,0.72188,0.59892,0.64799,0.000168935,0.000168935,0.000168935
11,210.009,0.99359,1.48182,1.15283,0.8978,0.91058,0.99256,0.67526,0.66618,0.61284,0.61899,0.000168594,0.000168594,0.000168594
12,227.5,0.96916,1.31241,1.14214,0.92637,0.95339,0.995,0.63638,0.72885,0.46577,0.64056,0.000168254,0.000168254,0.000168254
13,246.211,0.93204,1.21557,1.10153,0.88917,0.96338,0.995,0.68887,0.65352,0.43482,0.60219,0.000167913,0.000167913,0.000167913
14,265.14,0.95342,1.19165,1.12269,0.94117,0.9387,0.995,0.7037,0.63916,0.54124,0.60515,0.000167573,0.000167573,0.000167573
15,283.991,0.92336,1.08618,1.12448,0.95634,0.9646,0.995,0.66464,0.68204,0.50679,0.61855,0.000167232,0.000167232,0.000167232
16,303.708,0.96332,1.06851,1.13333,0.9494,0.95175,0.995,0.66361,0.67753,0.53898,0.62281,0.000166892,0.000166892,0.000166892
17,322.807,0.92076,1.02272,1.1222,0.9193,0.94621,0.995,0.72041,0.60921,0.51234,0.58464,0.000166551,0.000166551,0.000166551
18,340.798,0.92595,1.03233,1.10172,0.87889,0.97848,0.995,0.69629,0.6442,0.50027,0.58937,0.00016621,0.00016621,0.00016621
