epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,802.206,1.20704,2.26969,1.58111,0.70153,0.73602,0.86754,0.53327,0.77031,1.12214,0.76074,0.000157696,0.000157696,0.000157696
44,820.873,1.23853,2.29852,1.61728,0.70638,0.82586,0.8827,0.61093,0.63439,0.74827,0.67855,0.000157356,0.000157356,0.000157356
45,837.947,1.23738,2.22698,1.55941,0.69015,0.79071,0.88814,0.57037,0.71773,0.69277,0.72817,0.000157015,0.000157015,0.000157015
46,856.562,1.18057,2.17752,1.56702,0.79294,0.7398,0.8868,0.56238,0.73625,0.88584,0.73709,0.000156675,0.000156675,0.000156675
47,875.009,1.18759,2.10701,1.51674,0.72337,0.8118,0.8804,0.57557,0.69504,0.6931,0.71763,0.000156334,0.000156334,0.000156334
48,893.61,1.19965,2.08169,1.5329,0.65232,0.82796,0.88796,0.55116,0.73017,1.47329,0.73833,0.000155994,0.000155994,0.000155994
49,912.171,1.18309,2.02743,1.51063,0.77965,0.81478,0.92573,0.55748,0.76542,0.71988,0.75908,0.000155653,0.000155653,0.000155653
50,930.617,1.20352,1.99005,1.54958,0.7244,0.85546,0.90953,0.5448,0.81854,0.99468,0.79254,0.000155313,0.000155313,0.000155313
51,949.259,1.17003,1.92771,1.51327,0.74553,0.85885,0.95075,0.53995,0.88685,0.80363,0.83664,0.000154972,0.000154972,0.000154972
52,967.733,1.1966,1.91022,1.5018,0.62747,0.82717,0.89717,0.59523,0.70116,0.78245,0.71141,0.000154631,0.000154631,0.000154631
53,986.54,1.11104,1.87669,1.46751,0.78675,0.89148,0.95123,0.57124,0.77432,0.6909,0.76778,0.000154291,0.000154291,0.000154291
54,1005.61,1.15347,1.86493,1.51205,0.66457,0.88008,0.92854,0.61576,0.66546,0.8204,0.69802,0.00015395,0.00015395,0.00015395
55,1024.7,1.17053,1.84338,1.52869,0.81922,0.85485,0.94567,0.60643,0.69332,0.73969,0.71263,0.00015361,0.00015361,0.00015361
56,1043.92,1.18697,1.79126,1.47406,0.74274,0.85017,0.91843,0.61317,0.6512,0.7386,0.68425,0.000153269,0.000153269,0.000153269
57,1062.31,1.13764,1.80535,1.50274,0.72424,0.91892,0.95132,0.64333,0.65942,0.72328,0.69407,0.000152929,0.000152929,0.000152929
58,1081.77,1.12483,1.72214,1.48136,0.83915,0.93506,0.98196,0.60422,0.77594,0.61352,0.7585,0.000152588,0.000152588,0.000152588
59,1099.07,1.16968,1.69994,1.47773,0.7775,0.94543,0.98431,0.65997,0.68911,0.74987,0.70304,0.000152248,0.000152248,0.000152248
60,1116.29,1.15235,1.74724,1.49379,0.81373,0.95482,0.98288,0.64296,0.71344,0.56554,0.71747,0.000151907,0.000151907,0.000151907
61,1133.96,1.14837,1.6142,1.47546,0.83409,0.88901,0.96303,0.6742,0.63104,0.6405,0.66557,0.000151566,0.000151566,0.000151566
62,1151.13,1.10424,1.60728,1.47413,0.79446,0.94175,0.97236,0.68302,0.63297,0.68623,0.6669,0.000151226,0.000151226,0.000151226
